Iteration   Cost 	vis_1 	vis_2 	vis_3 	vis_4 	vis_5 	vis_6 	vis_7 	vis_8 	vis_9 	vis_10 	vis_11 	vis_12 	vis_13
1 	1583881.053948697 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
2 	1583828.4168583904 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
3 	1585789.8575454578 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
4 	1583882.5230073552 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
5 	1584276.8653297762 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
6 	1583924.4913288618 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
7 	1585662.2750760969 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
8 	1586652.2164540256 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
9 	1583955.0237460667 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0
10 	1583901.465538891 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0
11 	1583790.6418582324 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0
12 	1581943.5791126387 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0
13 	1583878.3078761443 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0
14 	1587998.9145734285 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0
15 	1580639.654606802 	7.660522376430372 	1.7867623301619345E-15 	4.221159770521389E-15 	5.334180621098882E-15 	2.803796404731339E-15 	-4.10270297271104E-15 	-3.249004933595208E-15 	3.090845405859364E-15 	4.714512868398892E-16 	1.9660651727701307E-16 	8.128417901144308 	6.211059722425312 	-2.5339692046678227E-15
-1 	1580639.654606802 	7.660522376430372 	1.7867623301619345E-15 	4.221159770521389E-15 	5.334180621098882E-15 	2.803796404731339E-15 	-4.10270297271104E-15 	-3.249004933595208E-15 	3.090845405859364E-15 	4.714512868398892E-16 	1.9660651727701307E-16 	8.128417901144308 	6.211059722425312 	-2.5339692046678227E-15
