Iteration   Cost 	depth_1 	depth_2 	depth_3 	depth_4 	depth_5 	depth_6 	depth_7 	depth_8 	depth_9 	depth_10 	depth_11 	depth_12 	depth_13 	depth_14 	depth_15 	depth_16 	depth_17 	depth_18 	depth_19 	depth_20
17 	4.999272579682458E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0
18 	4.979051295966346E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0
19 	5.0553893686816335E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0
20 	5.115683740185847E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0
21 	4.9522530629235625E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05
22 	3.1834623940343015E7 	-0.09128044503828897 	-0.06357883845766675 	-0.09128044503828897 	0.07123884946650844 	-0.09128044503828969 	0.002994499126010726 	0.012005535690736048 	-0.005008153620078523 	0.046084577560059736 	-0.02951327587018934 	0.09128044503829 	-0.014807568613704806 	-0.08608090240546153 	-0.02324176291785135 	-0.0912804450382898 	-0.04421300467325939 	0.02206193612762785 	-0.09128044503828912 	-0.09128044503828911 	0.11846033377871454
23 	2.5211919515446547E7 	-0.18996448167710725 	-0.18740744416429478 	-0.18996448167710725 	0.11046736402491378 	-0.18996448167710742 	0.007905611757788148 	0.05229447249106231 	0.09870023921986887 	0.15696197115464572 	-0.14333004832154553 	0.1899644816771071 	-0.18290554041457682 	-0.1402172019968073 	-0.18368407111687657 	-0.1899644816771076 	-0.16630413304439406 	0.07041771096995803 	-0.18996448167710728 	-0.18996448167710683 	0.19247336125783024
24 	2.5714851031884E7 	-0.20000000000000184 	-0.20000000000000231 	-0.20000000000000184 	0.119882649992773 	-0.20000000000000195 	0.009589428018530115 	0.044456930882165784 	0.06950448322218157 	0.12587655808387374 	-0.019919954736374576 	0.20000000000000154 	-0.20000000000000226 	-0.1897446642533722 	-0.1549725795941002 	-0.20000000000000168 	-0.1764280525255325 	0.09067827379903623 	-0.20000000000000173 	-0.20000000000000226 	0.20000000000000237
25 	2.527795055889766E7 	-0.1949822408385546 	-0.19370372208214842 	-0.1949822408385547 	0.11517500700884342 	-0.19498224083855475 	0.008747519888159128 	0.04837570168661407 	0.08410236122102516 	0.14141926461925972 	-0.0816250015289601 	0.1949822408385542 	-0.19145277020728954 	-0.16498093312508963 	-0.1693283253554885 	-0.19498224083855462 	-0.17136609278496323 	0.08054799238449713 	-0.19498224083855475 	-0.19498224083855437 	0.19623668062891603
26 	2.5196995768875383E7 	-0.19247336125783093 	-0.19055558312322163 	-0.19247336125783093 	0.11282118551687852 	-0.19247336125783102 	0.008326565822973635 	0.050335087088838194 	0.09140130022044704 	0.14919061788695273 	-0.11247752492525287 	0.19247336125783068 	-0.18717915531093318 	-0.15259906756094846 	-0.17650619823618258 	-0.1924733612578311 	-0.16883511291467876 	0.0754828516772276 	-0.19247336125783093 	-0.19247336125783063 	0.19435502094337315
-1 	2.5196995768875383E7 	-0.19247336125783093 	-0.19055558312322163 	-0.19247336125783093 	0.11282118551687852 	-0.19247336125783102 	0.008326565822973635 	0.050335087088838194 	0.09140130022044704 	0.14919061788695273 	-0.11247752492525287 	0.19247336125783068 	-0.18717915531093318 	-0.15259906756094846 	-0.17650619823618258 	-0.1924733612578311 	-0.16883511291467876 	0.0754828516772276 	-0.19247336125783093 	-0.19247336125783063 	0.19435502094337315
