,1,2,3,4,5,6,7,8,9,10,11
Name,UB,BB,NL,HS,AW,ANW,FB,AN,EAC,EHB,WHB
Description,Ungava Bay and near by region.,Region of Baffin BAy near Davis Strait and cumberland sound.,Northern region of the Labrador Sea i.e. the eastern coast of Canada near Frobisher Bay,Hudson Strait,Arctic West: Amundsen Gulf and southern portion of Victoria Island.,Arctic Nort West: Prince Patrick Island and Northern part of Victoria Island.,Foxe Basin,Ellesmere Island and Kane Basin.,Extended Arctic Central: Central Arctic Region extended towards the south having all of Kitikmeot region.,Western Hudson Bay Region.,Easter Hudson Bay Region.
