Iteration   Cost 	depth_1 	depth_2 	depth_3 	depth_4 	depth_5 	depth_6 	depth_7 	depth_8 	depth_9 	depth_10 	depth_11 	depth_12 	depth_13 	depth_14 	depth_15 	depth_16 	depth_17
1 	1.530017204585606E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
2 	1.471907731438484E7 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
3 	1.5044360194457306E7 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
4 	1.5346845390731853E7 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
5 	1.4875189376815638E7 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
6 	1.5308989475346401E7 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
7 	1.4955494213029023E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
8 	1.4738258223997762E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
9 	1.4999972643754927E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
10 	1.4583065342807543E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
11 	1.4859222970890876E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
12 	1.4200603535301503E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
13 	1.2594025796996623E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0
14 	1.4305325476747334E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0
15 	1.527880625648992E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0
16 	1.5069483856092675E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0
17 	1.4002809566056667E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0
18 	1.4793252489343943E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05
19 	6985675.783953054 	0.04580847206660311 	0.06647871961000126 	-0.09839781530850737 	0.02227139613803144 	-0.09971807941500198 	0.038861617946735656 	0.09971807941500183 	0.06647871961000157 	0.05037351045620697 	-0.07616358205091292 	0.09971807941500206 	0.07191595075241455 	0.09971807941500213 	0.03487343340640087 	0.09971807941500171 	-0.03813338048198237 	0.06647871961000136
20 	5618916.197426396 	0.03933604397340532 	0.09999999999999995 	-0.15000000000000002 	0.056646161334180864 	-0.14999999999999977 	0.07875352811421309 	0.14999999999999972 	0.10000000000000002 	0.057874828683262186 	-0.022642802910444276 	0.15000000000000008 	0.12234741680506477 	0.1499999999999998 	0.10000000000000012 	0.1500000000000001 	-0.1435882165111801 	0.1
21 	5523144.971357829 	0.026400518569721962 	0.034609721555578954 	-0.13172982051048707 	0.09999999999999991 	-0.1282137038252375 	0.09999999999999988 	0.14999999999999974 	0.0999999999999999 	0.0386340010189898 	0.07280127198027603 	0.14999999999999988 	0.12964239468998745 	0.1499999999999998 	0.100000000000001 	0.15000000000000022 	-0.14999999999999972 	0.09999999999999998
22 	5662026.521554383 	0.05117707586949225 	-0.06206594579081423 	-0.07151660873508454 	0.0842312061967294 	-0.06150476076318166 	0.09999999999999905 	0.15000000000000044 	0.10000000000000034 	0.00581813468522039 	0.12662810532555285 	0.1152608861282992 	0.11030159076395982 	0.15000000000000024 	0.10000000000000818 	0.15000000000000202 	-0.14999999999999986 	0.10000000000000012
23 	5535481.409165201 	0.03878879721960711 	-0.013728112117617632 	-0.10162321462278577 	0.09211560309836467 	-0.09485923229420959 	0.09999999999999949 	0.15000000000000002 	0.1000000000000001 	0.022226067852105083 	0.09971468865291447 	0.13263044306414956 	0.1199719927269736 	0.15000000000000002 	0.10000000000000457 	0.15000000000000108 	-0.14999999999999974 	0.10000000000000002
24 	5516016.625099789 	0.032594657894664536 	0.010440804718980666 	-0.11667651756663644 	0.0960578015491823 	-0.1115364680597235 	0.09999999999999967 	0.14999999999999986 	0.10000000000000003 	0.030430034435547443 	0.08625798031659522 	0.1413152215320747 	0.12480719370848055 	0.1499999999999999 	0.10000000000000278 	0.15000000000000063 	-0.14999999999999977 	0.10000000000000002
25 	5700319.84647758 	0.05413251747301667 	-0.06160814780405584 	-0.06613244482894848 	0.07659010730907502 	-0.05589277469892155 	0.09999999999999998 	0.1500000000000002 	0.10000000000000021 	8.618020901166382E-5 	0.12691350112721897 	0.11804747313115285 	0.10545292741932626 	0.1500000000000001 	0.10000000000000808 	0.15000000000000197 	-0.15000000000000005 	0.10000000000000005
26 	5562113.633775145 	0.043363587683840604 	-0.025583671542537594 	-0.09140448119779246 	0.08632395442912866 	-0.08371462137932253 	0.09999999999999984 	0.15000000000000002 	0.10000000000000012 	0.015258107322279548 	0.10658574072190706 	0.12968134733161382 	0.11513006056390343 	0.14999999999999997 	0.10000000000000547 	0.1500000000000013 	-0.14999999999999986 	0.10000000000000003
27 	5528168.055322879 	0.03797912278925258 	-0.007571433411778466 	-0.10404049938221444 	0.09119087798915544 	-0.09762554471952298 	0.09999999999999971 	0.14999999999999988 	0.10000000000000005 	0.022844070878913495 	0.09642186051925117 	0.13549828443184425 	0.11996862713619202 	0.14999999999999994 	0.10000000000000411 	0.15000000000000097 	-0.14999999999999977 	0.10000000000000005
28 	5519409.233866896 	0.035286890341958546 	0.0014346856536011014 	-0.11035850847442548 	0.09362433976916888 	-0.10458100638962323 	0.09999999999999971 	0.14999999999999988 	0.10000000000000005 	0.026637052657230466 	0.09133992041792317 	0.13840675298195956 	0.12238791042233628 	0.14999999999999994 	0.10000000000000342 	0.1500000000000008 	-0.14999999999999977 	0.1
