Iteration   Cost 	bf_1 	bf_2 	bf_3 	bf_4 	bf_5 	bf_6 	bf_7 	bf_8 	bf_9 	bf_10 	bf_11 	bf_12 	bf_13 	bf_14 	bf_15 	bf_16
1 	5560617.864827885 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
2 	5567734.412736137 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
3 	5630666.754359447 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
4 	5562028.270331965 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
5 	5571251.023611441 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
6 	5570792.363611511 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
7 	5571059.201071651 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
8 	5489297.057956175 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
9 	5595167.239940977 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
10 	5542057.689009347 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
11 	5597396.316206095 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
12 	5538224.640172708 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0
13 	5431152.122906491 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0
14 	5465653.775438523 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0
15 	5497566.098750699 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0
16 	5543859.153154604 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0
17 	5564614.852755794 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2
18 	6110037.9891291 	-0.14905114256480162 	-0.10884941482367756 	-0.6229451618272245 	-0.39801912444759474 	-1.0000000000000004 	0.16525671356378857 	0.5064533698031367 	-0.34145027822611457 	0.999999999999999 	-0.5802227959969138 	0.266663446816443 	0.9888868235087371 	-0.1203074162972338 	0.10982649570105157 	0.9999999999999997 	-0.9999999999999996
19 	4997295.0058540525 	-0.07452557128240081 	-0.05442470741183878 	-0.31147258091361224 	-0.19900956222379737 	-0.5000000000000002 	0.08262835678189429 	0.25322668490156836 	-0.17072513911305728 	0.4999999999999995 	-0.2901113979984569 	0.1333317234082215 	0.5944434117543687 	-0.0601537081486169 	0.05491324785052579 	0.49999999999999983 	-0.4999999999999998
20 	5593335.473862181 	-0.14744258643438635 	-0.05997017599891196 	-0.4180845332740014 	-0.21046755345850776 	-1.0000000000000002 	0.1606685134036811 	0.47332607388041537 	-0.2709005629336249 	1.0000000000000024 	-0.19882508625087414 	0.3214036439035694 	0.9999999999999998 	-0.137424097720147 	0.2086205346218279 	1.0000000000000022 	-1.000000000000002
21 	4933660.763775352 	-0.11098407885839356 	-0.05719744170537533 	-0.3647785570938068 	-0.20473855784115252 	-0.7500000000000001 	0.1216484350927877 	0.3632763793909917 	-0.22081285102334122 	0.7500000000000012 	-0.2444682421246656 	0.2273676836558954 	0.7972217058771841 	-0.09878890293438196 	0.13176689123617683 	0.7500000000000011 	-0.750000000000001
22 	5626906.477036109 	-0.14512659486954227 	-0.054817356330262454 	-0.4382892523738905 	-0.22242054341148193 	-0.9999999999999993 	0.1609360268127265 	0.46758239635270615 	-0.28246082007846063 	1.0000000000000007 	-0.29478463153146967 	0.3208954174280666 	0.9999999999999984 	-0.14155151934350105 	0.1930687393402526 	1.0000000000000009 	-1.0000000000000004
