Iteration   Cost 	depth_1 	depth_2 	depth_3 	depth_4 	depth_5 	depth_6 	depth_7 	depth_8 	depth_9 	depth_10 	depth_11 	depth_12 	depth_13 	depth_14 	depth_15 	depth_16 	depth_17 	depth_18 	depth_19 	depth_20 	depth_21 	depth_22 	depth_23 	depth_24
23 	1.4289298709321486E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0
24 	1.4513707499103729E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0
25 	1.4562822373747448E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05
26 	7976698.786232673 	0.006172642939473381 	0.09338268215029426 	-0.057805525688174014 	0.01832975564134472 	-0.1327716131264407 	-0.005726609280685695 	0.0684970214100614 	-0.03814579110275081 	-0.03146546806240587 	-0.025145143950974586 	0.10221181136101926 	0.057061857690284296 	0.13626816588061702 	0.03779952453729338 	0.09354621378948003 	-0.07552884130486887 	0.12850460812087428 	0.009427203095828658 	0.13626816588061696 	-0.1629487730984165 	0.13626816588061702 	0.03757084806357272 	-0.00658232944310396 	0.024811428616443563
27 	5727020.061711834 	-0.0070642653500776215 	0.19867875275719202 	-0.1843919306533391 	0.08408319331732914 	-0.32710354455271207 	-0.004101306892338152 	0.16453763503151647 	-0.05690149129268264 	-0.03370372704650466 	0.019695707353452246 	0.2000328824966131 	0.09765428630584867 	0.3414751840687111 	0.13117405206332053 	0.2321310640908314 	-0.18346128840794454 	0.33975237047520634 	-0.014240013683932403 	0.34147518406871186 	-0.6214199334483412 	0.3414751840687113 	0.1210426196287228 	-0.008935118862713315 	-0.026952066091287766
28 	5008830.148137737 	-0.010841304074897723 	0.25064514261692816 	-0.18985819773134385 	0.09705321591190359 	-0.3999999999999995 	-0.008631333089671596 	0.1991437695134682 	-0.05657148940349967 	-0.017292916032058778 	0.02828504428239388 	0.2347321250483873 	0.09903545539596992 	0.4000000000000003 	0.1479671838452995 	0.3167047646917284 	-0.19100261929793347 	0.39999999999999913 	-0.104552361554047 	0.40000000000000047 	-0.6615170906463431 	0.40000000000000036 	0.14426812137720166 	-0.014273188660935588 	0.04737253809640437
29 	4746129.376635065 	-0.024626911825088173 	0.2750227375532417 	-0.1097869460803817 	0.11384372868852398 	-0.40000000000000296 	-0.005789725876703681 	0.22856374723252118 	-0.043381519835617596 	0.02687047582370115 	0.05992923257018253 	0.2068682287766135 	0.1184347626430518 	0.4000000000000038 	0.16763967631389398 	0.3851418004546879 	-0.19502043236723904 	0.4000000000000032 	-0.20973721963139896 	0.40000000000000435 	-0.7156072143380124 	0.40000000000000374 	0.17557126356617678 	-0.027722417966145368 	0.1537671975305069
30 	4488396.782966841 	-0.02274866539826561 	0.2593555892361214 	-0.06785453716490972 	0.10449524761766231 	-0.40000000000004404 	-0.009781616995162782 	0.23014354398423842 	-0.04708803915293171 	0.032362055224244415 	0.05400786275702555 	0.19046407627758943 	0.10870567321315092 	0.40000000000001074 	0.16976291243946273 	0.3888152078036836 	-0.16240000036177732 	0.4000000000000211 	-0.23178937152622608 	0.4000000000000208 	-0.6561626758593653 	0.4000000000000067 	0.16479965259330875 	-0.03527761293459797 	0.2488417864239064
31 	4482555.334832573 	-0.015594982413976567 	0.25861395035530893 	-0.06719153382339438 	0.10106864932877926 	-0.40000000000020325 	-0.008785842833812113 	0.2331612713081888 	-0.04633871205613569 	0.02788360892102677 	0.05317596513858685 	0.18629599233625985 	0.10792727077084444 	0.4000000000000285 	0.13532442655570417 	0.39394485474950564 	-0.16110624753860023 	0.4000000000000819 	-0.2058157279601711 	0.40000000000007085 	-0.6503778391549219 	0.40000000000001323 	0.16492770165186058 	-0.03470990033373065 	0.24815528070319587
32 	4486772.705672622 	-0.020848868678058016 	0.2616287456114869 	-0.06944894598593043 	0.1035682143272868 	-0.4000000000006573 	-0.009357499387609842 	0.2303410782789756 	-0.04578362901015746 	0.03166531885557167 	0.053283350419892815 	0.18978678829317713 	0.10769994578596634 	0.40000000000007035 	0.15915588992153812 	0.3882086852492673 	-0.16118924108085272 	0.4000000000003079 	-0.22984615841632736 	0.4000000000001873 	-0.6531482553936596 	0.40000000000002667 	0.16279489935722635 	-0.034530566601395474 	0.24937615786264686
