X,Y,Z,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-150.05,72.0,0,"1","0","0","0","0",0.00000000000000,45.00000000000000
-131,72,0,"1","1","0","0","1",19.05000000000001,135.00000000000000
-131,67.3,0,"1","2","0","0","2",23.75000000000002,225.00000000000000
-150.05,67.3,0,"1","3","0","0","3",42.80000000000003,315.00000000000000
-150.05,72.0,0,"1","4","0","0","4",47.50000000000004,45.00000000000000
-150.05,72.0,0,"2","0","0","0","0",0.00000000000000,315.00000000000000
-150.05,84.0,0,"2","1","0","0","1",12.00000000000000,45.00000000000000
-131,84,0,"2","2","0","0","2",31.05000000000001,135.00000000000000
-131,72,0,"2","3","0","0","3",43.05000000000001,225.00000000000000
-150.05,72.0,0,"2","4","0","0","4",62.10000000000002,315.00000000000000
-131,84,0,"3","0","0","0","0",0.00000000000000,45.00000000000000
-101,84,0,"3","1","0","0","1",30.00000000000000,135.00000000000000
-101,80,0,"3","2","0","0","2",34.00000000000000,225.00000000000000
-131,80,0,"3","3","0","0","3",64.00000000000000,315.00000000000000
-131,84,0,"3","4","0","0","4",68.00000000000000,45.00000000000000
-131,74,0,"4","0","0","0","0",0.00000000000000,315.00000000000000
-131,80,0,"4","1","0","0","1",6.00000000000000,45.00000000000000
-101,80,0,"4","2","0","0","2",36.00000000000000,135.00000000000000
-101,74,0,"4","3","0","0","3",42.00000000000000,225.00000000000000
-131,74,0,"4","4","0","0","4",72.00000000000000,315.00000000000000
-131,74,0,"5","0","0","0","0",0.00000000000000,45.00000000000000
-101,74,0,"5","1","0","0","1",30.00000000000000,135.00000000000000
-101,67.3,0,"5","2","0","0","2",36.70000000000001,225.00000000000000
-131,67.3,0,"5","3","0","0","3",66.70000000000000,315.00000000000000
-131,74,0,"5","4","0","0","4",73.40000000000002,45.00000000000000
-101,67.3,0,"7","0","0","0","0",0.00000000000000,315.00000000000000
-101,74,0,"7","1","0","0","1",6.70000000000000,45.00000000000000
-83.25,74.0,0,"7","2","0","0","2",24.45000000000001,135.00000000000000
-83.25,67.3,0,"7","3","0","0","3",31.15000000000001,225.00000000000000
-101,67.3,0,"7","4","0","0","4",48.90000000000002,315.00000000000000
-83.25,67.3,0,"6","0","0","0","0",0.00000000000000,135.00000000000000
-83.25,53.0,0,"6","1","0","0","1",14.30000000000000,225.00000000000000
-101,53,0,"6","2","0","0","2",32.05000000000000,315.00000000000000
-101,67.3,0,"6","3","0","0","3",46.35000000000000,45.00000000000000
-83.25,67.3,0,"6","4","0","0","4",64.09999999999999,135.00000000000000
-75,61.8,0,"9","0","0","0","0",0.00000000000000,135.00000000000000
-75,50,0,"9","1","0","0","1",11.80000000000000,225.00000000000000
-83.25,50.0,0,"9","2","0","0","2",20.05000000000000,315.00000000000000
-83.25,61.8,0,"9","3","0","0","3",31.85000000000000,45.00000000000000
-75,61.8,0,"9","4","0","0","4",40.10000000000000,135.00000000000000
-72,65,0,"11","0","0","0","0",0.00000000000000,225.00000000000000
-83.25,65.0,0,"11","1","0","0","1",11.25000000000000,315.00000000000000
-83.25,72.0,0,"11","2","0","0","2",18.25000000000000,45.00000000000000
-72,72,0,"11","3","0","0","3",29.50000000000000,135.00000000000000
-72,65,0,"11","4","0","0","4",36.50000000000000,225.00000000000000
-75,61.8,0,"10","0","0","0","0",0.00000000000000,225.00000000000000
-83.25,61.8,0,"10","1","0","0","1",8.25000000000000,315.00000000000000
-83.25,65.0,0,"10","2","0","0","2",11.45000000000000,45.00000000000000
-75,65,0,"10","3","0","0","3",19.70000000000000,135.00000000000000
-75,61.8,0,"10","4","0","0","4",22.90000000000001,225.00000000000000
-101,84,0,"8","0","0","0","0",0.00000000000000,45.00000000000000
-83.25,84.0,0,"8","1","0","0","1",17.75000000000000,135.00000000000000
-83.25,74.0,0,"8","2","0","0","2",27.75000000000000,225.00000000000000
-101,74,0,"8","3","0","0","3",45.50000000000000,315.00000000000000
-101,84,0,"8","4","0","0","4",55.50000000000000,45.00000000000000
-83.25,84.0,0,"17","0","0","0","0",0.00000000000000,45.00000000000000
-46.5,84.0,0,"17","1","0","0","1",36.75000000000000,135.00000000000000
-46.5,76.5,0,"17","2","0","0","2",44.25000000000000,225.00000000000000
-83.25,76.5,0,"17","3","0","0","3",81.00000000000000,315.00000000000000
-83.25,84.0,0,"17","4","0","0","4",88.50000000000000,45.00000000000000
-75,65,0,"12","0","0","0","0",0.00000000000000,45.00000000000000
