Iteration   Cost 	vi_1 	vi_2 	vi_3 	vi_4 	vi_5 	vi_6 	vi_7 	vi_8 	vi_9 	vi_10 	vi_11 	vi_12 	vi_13 	vi_14 	vi_15 	vi_16 	vi_17 	vi_18 	vi_19 	vi_20 	vi_21 	vi_22 	vi_23 	vi_24 	vi_25 	vi_26 	vi_27 	vi_28 	vi_29 	vi_30
1 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
2 	1.0580537291627945E7 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
3 	1.0580487476555066E7 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
4 	1.0580525349608082E7 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
5 	1.0580537291627945E7 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
6 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
7 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
8 	1.0580480165562833E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
9 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
10 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
11 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
12 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
13 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
14 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
15 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
16 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
17 	1.0580015757062975E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
18 	1.0580537291627945E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
