Iteration   Cost 	vis_1 	vis_2 	vis_3 	vis_4 	vis_5 	vis_6 	vis_7 	vis_8 	vis_9 	vis_10 	vis_11 	vis_12 	vis_13
1 	4130357.6123988987 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
2 	4130338.033232745 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
3 	4130390.4019667455 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
4 	4130357.4071250726 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
5 	4132148.9315040037 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
6 	4130480.8881437397 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
7 	4130999.874072455 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
8 	4131532.986334108 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
9 	4130102.50395822 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0
10 	4130233.875615619 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0
11 	4130652.873560655 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0
12 	4130648.237968916 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0
13 	4130380.2697280017 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0
14 	4130475.5455349726 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2
15 	4121291.7190361293 	0.32712296328188023 	-0.32712296328187457 	0.028162372347652998 	-0.3271229632818803 	-0.32712296328188 	-0.3271229632818789 	-0.32712296328187723 	0.4616983706255021 	0.32712296328186685 	-0.3271229632818761 	-0.32712296328187496 	-0.327122963281882 	-0.32712296328187823
16 	4101826.5012574703 	0.9999999999999972 	-0.9999999999999962 	0.0882834972155793 	-1.0000000000000027 	-0.9999999999999981 	-0.9999999999999979 	-0.9999999999999977 	0.9999999999999993 	0.9999999999999976 	-0.9999999999999974 	-0.9999999999999986 	-0.9999999999999964 	-1.0000000000000007
17 	4101178.0056716213 	1.0000000000000007 	-1.0000000000000016 	0.08500660631384693 	-1.000000000000005 	-0.9999999999999999 	-1.0000000000000024 	-1.0000000000000007 	1.0000000000000024 	0.9999999999999999 	-1.0000000000000027 	-1.0000000000000016 	-0.31540554001225274 	0.3187502569212156
-1 	4101178.0056716213 	1.0000000000000007 	-1.0000000000000016 	0.08500660631384693 	-1.000000000000005 	-0.9999999999999999 	-1.0000000000000024 	-1.0000000000000007 	1.0000000000000024 	0.9999999999999999 	-1.0000000000000027 	-1.0000000000000016 	-0.31540554001225274 	0.3187502569212156
