Iteration   Cost 	depth_1 	depth_2 	depth_3 	depth_4 	depth_5 	depth_6 	depth_7 	depth_8 	depth_9 	depth_10 	depth_11 	depth_12 	depth_13 	depth_14 	depth_15 	depth_16 	depth_17
1 	4.961577829060171E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
2 	4.961669876328837E7 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
3 	4.96201192688376E7 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
4 	4.963067002528308E7 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
5 	4.9628608450864375E7 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
6 	4.966221102193525E7 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
7 	5.1799762512390725E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
8 	4.9828507979736924E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
9 	4.977303490970613E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
10 	4.9784403901101135E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
11 	5.251254727927499E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
12 	5.021306367904112E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
13 	5.0597606974777006E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0
14 	5.9645710837269284E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0
15 	5.052650914239689E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0
16 	5.369689279305665E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0
17 	4.999003832342084E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0
18 	4.980930544748338E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05
19 	2.8357196911249053E7 	-0.19999999999999962 	-0.20000000000000062 	-0.20000000000000184 	0.19999999999999973 	-0.2000000000000001 	-0.003396905809071256 	0.0706265069734556 	-0.13455269442655685 	0.17015641159342434 	-0.12549739098091037 	0.20000000000000068 	0.16844017717342982 	-0.19999999999999993 	-0.10522973883974994 	-0.19999999999999946 	-0.06154020681168054 	0.04910473289643448
20 	2.630303842637471E7 	-0.1999999999999987 	-0.20000000000000107 	-0.2000000000000025 	0.1999999999999994 	-0.2000000000000007 	-0.003700368043888792 	0.09801272332833591 	-0.08729622546684289 	0.18865429018156663 	-0.17167616135395772 	0.14271023073355296 	-0.059929198904891956 	-0.16248380507538115 	-0.16397095858940386 	-0.1999999999999993 	-0.13033544264285396 	0.03229656755666105
21 	2.6923535763866056E7 	-0.19999999999999582 	-0.2000000000000034 	-0.20000000000000734 	0.19999999999999912 	-0.20000000000000515 	0.0038171996330025144 	0.10136823582040373 	-0.0901472725594305 	0.19414474972995263 	-0.1853827423285975 	0.17043411630159158 	-0.12771279989858084 	-0.18063878646831716 	-0.18140627093192774 	-0.1828206917691534 	-0.1640477832761948 	0.02098727787093132
22 	2.6583651600740395E7 	-0.19999999999999724 	-0.20000000000000223 	-0.20000000000000487 	0.19999999999999915 	-0.2000000000000029 	5.841579455686174E-5 	0.0996904795743698 	-0.0887217490131367 	0.19139951995575966 	-0.17852945184127772 	0.1565721735175723 	-0.09382099940173642 	-0.17156129577184906 	-0.17268861476066577 	-0.1914103458845764 	-0.1471916129595244 	0.026641922713796156
23 	2.643380132725827E7 	-0.19999999999999796 	-0.20000000000000162 	-0.20000000000000376 	0.1999999999999993 	-0.20000000000000182 	-0.0018209761246659637 	0.09885160145135284 	-0.08800898723998987 	0.1900269050686631 	-0.17510280659761773 	0.14964120212556264 	-0.0768750991533142 	-0.1670225504236152 	-0.1683297866750349 	-0.19570517294228773 	-0.13876352780118917 	0.0294692451352286
24 	2.6366588757747915E7 	-0.19999999999999837 	-0.20000000000000137 	-0.20000000000000312 	0.19999999999999932 	-0.2000000000000012 	-0.002760672084277377 	0.09843216238984437 	-0.08765260635341636 	0.18934059762511496 	-0.1733894839757877 	0.14617571642955782 	-0.06840214902910305 	-0.16475317774949816 	-0.16615037263221938 	-0.19785258647114357 	-0.13454948522202154 	0.030882906345944823
25 	2.633359737831291E7 	-0.1999999999999985 	-0.2000000000000012 	-0.2000000000000028 	0.1999999999999994 	-0.200000000000001 	-0.003230520064083085 	0.09822244285909014 	-0.08747441591012962 	0.18899744390334078 	-0.17253282266487271 	0.1444429735815554 	-0.06416567396699752 	-0.16361849141243964 	-0.16506066561081165 	-0.19892629323557143 	-0.13244246393243775 	0.03158973695130294
26 	2.630207319135371E7 	-0.1999999999999987 	-0.20000000000000107 	-0.2000000000000025 	0.19999999999999943 	-0.2000000000000007 	-0.003715050793257721 	0.09800616959299985 	-0.08729065701549019 	0.18864356662776122 	-0.17164939068799162 	0.14265608251955292 	-0.05979680905920115 	-0.1624483461273481 	-0.1639369052449849 	-0.20003355333638767 	-0.13026959822755446 	0.0323186560130785
-1 	2.630207319135371E7 	-0.1999999999999987 	-0.20000000000000107 	-0.2000000000000025 	0.19999999999999943 	-0.2000000000000007 	-0.003715050793257721 	0.09800616959299985 	-0.08729065701549019 	0.18864356662776122 	-0.17164939068799162 	0.14265608251955292 	-0.05979680905920115 	-0.1624483461273481 	-0.1639369052449849 	-0.20003355333638767 	-0.13026959822755446 	0.0323186560130785
